conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Approve Standard,The activities involved to approve the standard for use.,Value Stream Stage,,Establish Standard,,Establish Standard,5,,
,Publish Standard,The act of publishing the standard to make it available for use.,Value Stream Stage,,Establish Standard,,Establish Standard,6,,
,Execute Campaign,"The end-to-end perspective of executing a campaign, from identifying the need for a campaign, to planning, designing, implementing, and measuring the effectiveness of the campaign.",Value Stream,,,,,,,
,Request Campaign,The act of submitting a request for a campaign.,Value Stream Stage,,Execute Campaign,,Execute Campaign,1,,
,Plan Campaign,"The act of defining a campaign plan, including campaign targets and message, delivery channels, implementation schedule, success criteria, and required campaign budget and resources.",Value Stream Stage,,Execute Campaign,,Execute Campaign,2,,
,Design Campaign,"The act of defining campaign collateral, including target-specific messaging, graphic designs for each delivery channel.",Value Stream Stage,,Execute Campaign,,Execute Campaign,3,,
,Implement Campaign,The act of delivering campaign content as planned.,Value Stream Stage,,Execute Campaign,,Execute Campaign,4,,
,Evaluate Campaign,The act of measuring effectiveness of a campaign and identifying possible optimizations for future execution.,Value Stream Stage,,Execute Campaign,,Execute Campaign,5,,
,Execute Financial Transaction,The end-to-end perspective involved in completing a financial transaction for an agreement.,Value Stream,,,,,,,
,Initiate Transaction,The act of requesting financial activity on an agreement.,Value Stream Stage,,Execute Financial Transaction,,Execute Financial Transaction,1,,
,Validate Transaction Request,The act of ensuring that the requester has authority to request the transaction and the agreement is in a valid state to allow the transaction to occur.,Value Stream Stage,,Execute Financial Transaction,,Execute Financial Transaction,2,,
,Identify Related Impacts,"The act of identifying all related effects of the transaction, including, for example, fees and charges.",Value Stream Stage,,Execute Financial Transaction,,Execute Financial Transaction,3,,
,Perform Transaction,The act of applying request changes to the agreement balance and calculating the new agreement balance.,Value Stream Stage,,Execute Financial Transaction,,Execute Financial Transaction,4,,
,Notify Stakeholders,The act of notifying all stakeholders of the transaction and related events.,Value Stream Stage,,Execute Financial Transaction,,Execute Financial Transaction,5,,
,Verify Compliance,The act of ensuring that processed transactions are recorded and retained in accordance with organization and regulatory policy.,Value Stream Stage,,Execute Financial Transaction,,Execute Financial Transaction,6,,
,Execute Operation,"The end-to-end perspective of planning, initiating, running, and terminating an operation.",Value Stream,,,,,,,
,Plan Operation,The act of planning and rostering an operation instance.,Value Stream Stage,,Execute Operation,,Execute Operation,1,,
,Start Operation,The act of provisioning and initiating an instance of an operation.,Value Stream Stage,,Execute Operation,,Execute Operation,2,,
,End Operation,The act of managing and optimizing an operation while it is running.,Value Stream Stage,,Execute Operation,,Execute Operation,3,,
,Close Out Operation,The act of demobilizing and evaluating an instance of an operation.,Value Stream Stage,,Execute Operation,,Execute Operation,4,,
,Manufacture Product,The end-to-end value delivery perspective for creating a ready-to-acquire product.,Value Stream,,,,,,,
,Initiate Manufacturing Cycle,The initiation of the product manufacturing cycle.,Value Stream Stage,,Manufacture Product,,Manufacture Product,1,,
,Assemble Product,The work associated with creating an assembled but not fully packaged product.,Value Stream Stage,,Manufacture Product,,Manufacture Product,2,,
,Package Product,"The work associated with preparing a product for market, including trim, documentation, other readiness.",Value Stream Stage,,Manufacture Product,,Manufacture Product,3,,
,Deploy Product,The final point at which a packaged product is deployed for customer access or acquisition.,Value Stream Stage,,Manufacture Product,,Manufacture Product,4,,
,Obtain Accreditation,"The end-to-end perspective of applying for, qualifying for, and receiving a new or renewal of a certification.",Value Stream,,,,,,,
,Receive Application,Applicant completes and submits application with supporting documentation as required for the type of accreditation requested.,Value Stream Stage,,Obtain Accreditation,,Obtain Accreditation,1,,
,Accept Application,"Determine if the application is complete and ready to be evaluated, e.g., all required information is present in the application.",Value Stream Stage,,Obtain Accreditation,,Obtain Accreditation,2,,
,Evaluate Application,Evaluate the match between the criteria for the specific type of accreditation criteria and the data on the application.,Value Stream Stage,,Obtain Accreditation,,Obtain Accreditation,3,,
,Issue License,Perform the steps necessary to inform the applicant and initiate the delivery of the certification artifact to the applicant.,Value Stream Stage,,Obtain Accreditation,,Obtain Accreditation,4,,
,Finalize Application,"Complete the recording of the decision for audit trail, inform other agencies, organizations as appropriate, process fees associated with the accreditation process.",Value Stream Stage,,Obtain Accreditation,,Obtain Accreditation,5,,
,Obtain Financial Assistance,"The end-to-end perspective of a government organization receiving a request for, approving, and providing financial assistance.",Value Stream,,,,,,,
,Submit Request,"An external party identifies a need for assistance, investigates options, creates a request for assistance, and submits the request to the government organization.",Value Stream Stage,,Obtain Financial Assistance,,Obtain Financial Assistance,1,,
,Approve Request,The government organization receives and reviews the request and decides whether to approve.,Value Stream Stage,,Obtain Financial Assistance,,Obtain Financial Assistance,2,,
,Establish Agreement,The organization works with stakeholders to establish and approve both the agreement and its delivery plan.,Value Stream Stage,,Obtain Financial Assistance,,Obtain Financial Assistance,3,,
,Deliver Assistance,Financial assistance is delivered to the requester as per the agreement and plan.,Value Stream Stage,,Obtain Financial Assistance,,Obtain Financial Assistance,4,,
,Appraise Service,"A review is conducted of the financial assistance, covering the design of the service, its delivery, and the outcomes are delivered for the constituent.",Value Stream Stage,,Obtain Financial Assistance,,Obtain Financial Assistance,5,,
,Obtain Government Service,"The end-to-end perspective of submitting a request, being qualified for, and receiving the requested service.",Value Stream,,,,,,,
,Submit Request,Applicant or their proxy completes and submits application with supporting documentation as required for the type of government service requested.,Value Stream Stage,,Obtain Government Service,,Obtain Government Service,1,,
,Accept Request,"Determine whether all required information is present in the application, evaluate the match between the criteria for the specific type of government service and the applicant's qualifications as represented in the application data.",Value Stream Stage,,Obtain Government Service,,Obtain Government Service,2,,
,Establish Agreement,"Establish and approve the service agreement and its delivery plan, complete the recording of the decision for audit trail, inform other agencies and organizations as appropriate, process fees associated with transaction processing.",Value Stream Stage,,Obtain Government Service,,Obtain Government Service,3,,
,Deliver Government Service,The act of providing the approved government service to the constituent using a delivery method most appropriate for the type of service and the requester's circumstances.,Value Stream Stage,,Obtain Government Service,,Obtain Government Service,4,,
,Appraise Service,"A review is conducted of the government service, covering the design of the service, its delivery, and the outcomes delivered for the constituent.",Value Stream Stage,,Obtain Government Service,,Obtain Government Service,5,,
,Obtain Land Rights,"The end-to-end perspective of establishing the right to own, use, and develop government-owned, community-owned, or privately-owned land.",Value Stream,,,,,,,
,Accept Request,"Ensure conformity of required documentation identifying the requester, establishing the right of the requester to apply for use of the requested land, and describing the envisioned use of the land.",Value Stream Stage,,Obtain Land Rights,,Obtain Land Rights,1,,
,Delimit and Demarcate Geographic Space,Survey and confirm with local communities the parcel location on authoritative maps.,Value Stream Stage,,Obtain Land Rights,,Obtain Land Rights,2,,
,Produce Proposal,The activities required to assess stakeholder positions and arrive at an agreement of ownership of land rights.,Value Stream Stage,,Obtain Land Rights,,Obtain Land Rights,3,,
,Finalize Decision,"The activities of review and disposition of the proposal by appropriate decision-making authority, communicating the decision, making payments, registering and publishing the land rights in the official record of the jurisdiction.",Value Stream Stage,,Obtain Land Rights,,Obtain Land Rights,4,,
,Onboard Human Resource,"The end-to-end perspective of identifying, exploring, and selecting an individual to fill a need within an organization.",Value Stream,,,,,,,
