conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Financial Account -> Financial Account,Related information concept link from Financial Account to Financial Account,Information Concept Link,,Financial Account,,Financial Account,3,,Financial Account
,Financial Account -> Financial Forecast,Related information concept link from Financial Account to Financial Forecast,Information Concept Link,,Financial Account,,Financial Account,4,,Financial Forecast
,Financial Account -> Financial Position,Related information concept link from Financial Account to Financial Position,Information Concept Link,,Financial Account,,Financial Account,5,,Financial Position
,Financial Account -> Location,Related information concept link from Financial Account to Location,Information Concept Link,,Financial Account,,Financial Account,6,,Location
,Financial Account -> Partner,Related information concept link from Financial Account to Partner,Information Concept Link,,Financial Account,,Financial Account,7,,Partner
,Financial Account -> Policy,Related information concept link from Financial Account to Policy,Information Concept Link,,Financial Account,,Financial Account,8,,Policy
,Financial Account -> Public Sector Entity,Related information concept link from Financial Account to Public Sector Entity,Information Concept Link,,Financial Account,,Financial Account,9,,Public Sector Entity
,Financial Forecast,"Category: Secondary. A financial estimate, prediction, or projection.",Information Concept,,,,,,,
,Net-Worth Projection,Type for Financial Forecast,Information Concept Type,,Financial Forecast,,Financial Forecast,1,,
,Income & Expense Projection (Budget),Type for Financial Forecast,Information Concept Type,,Financial Forecast,,Financial Forecast,2,,
,Balance Sheet Projection,Type for Financial Forecast,Information Concept Type,,Financial Forecast,,Financial Forecast,3,,
,Cash Flow Projection,Type for Financial Forecast,Information Concept Type,,Financial Forecast,,Financial Forecast,4,,
,Current,State for Financial Forecast,Information Concept State,,Financial Forecast,,Financial Forecast,1,,
,Historical,State for Financial Forecast,Information Concept State,,Financial Forecast,,Financial Forecast,2,,
,Being-Prepared,State for Financial Forecast,Information Concept State,,Financial Forecast,,Financial Forecast,3,,
,Completed,State for Financial Forecast,Information Concept State,,Financial Forecast,,Financial Forecast,4,,
,Financial Position,Category: Secondary. A consolidated and holistic representation of actual financial standing or activity for a point in time or duration.,Information Concept,,,,,,,
,Balance Sheet,Type for Financial Position,Information Concept Type,,Financial Position,,Financial Position,1,,
,Cash Flow,Type for Financial Position,Information Concept Type,,Financial Position,,Financial Position,2,,
,Income & Expense,Type for Financial Position,Information Concept Type,,Financial Position,,Financial Position,3,,
,Net-Worth,Type for Financial Position,Information Concept Type,,Financial Position,,Financial Position,4,,
,Current,State for Financial Position,Information Concept State,,Financial Position,,Financial Position,1,,
,Historical,State for Financial Position,Information Concept State,,Financial Position,,Financial Position,2,,
,Being-Prepared,State for Financial Position,Information Concept State,,Financial Position,,Financial Position,3,,
,Completed,State for Financial Position,Information Concept State,,Financial Position,,Financial Position,4,,
,Financial Position -> Financial Forecast,Related information concept link from Financial Position to Financial Forecast,Information Concept Link,,Financial Position,,Financial Position,1,,Financial Forecast
,Financial Transaction,"Category: Secondary. An instance of a monetary amount movement or related exchange across businesses, agreements, or financial accounts.",Information Concept,,,,,,,
,Sale,Type for Financial Transaction,Information Concept Type,,Financial Transaction,,Financial Transaction,1,,
,Purchase,Type for Financial Transaction,Information Concept Type,,Financial Transaction,,Financial Transaction,2,,
,Receipt,Type for Financial Transaction,Information Concept Type,,Financial Transaction,,Financial Transaction,3,,
,Payment,Type for Financial Transaction,Information Concept Type,,Financial Transaction,,Financial Transaction,4,,
,Deposit,Type for Financial Transaction,Information Concept Type,,Financial Transaction,,Financial Transaction,5,,
,Withdrawal,Type for Financial Transaction,Information Concept Type,,Financial Transaction,,Financial Transaction,6,,
